Ranking,Title,IMDB,Rating,Year
16,Dr. Dolittle 2,4.5,PG,2001
16,The Santa Clause 2,5.5,G,2002
16,2 Fast 2 Furious,5.3,PG-13,2003
16,Fahrenheit 9/11,7.5,R,2004
16,Walk the Line,7.9,PG-13,2005
16,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhs,7.5,R,2006
16,Rush Hour 3,6.0,PG-13,2007
16,Wanted,6.8,R,2008
16,The Proposal,6.7,PG-13,2009
16,Little Fockers,5.3,PG-13,2010
16,Puss in Boots,6.8,PG,2011
16,Ice Age: Continental Drift,6.6,PG,2012
16,We're the Millers,7.1,R,2013
16,How to Train Your Dragon 2,8.2,PG,2014
16,Hotel Transylvania 2,6.8,PG,2015
16,Star Trek Beyond,7.2,PG-13,2016
16,The Lego Batman Movie,7.5,PG,2017
16,A Quiet Place,7.7,PG-13,2018
16,Pet Sematary,6.0,,2019
17,Bird on a Wire,5.5,PG-13,1990
17,Hot Shots!,6.5,PG-13,1991
17,Unforgiven,8.3,R,1992
17,Rising Sun,6.1,R,1993
17,The Specialist,4.9,R,1994
17,Get Shorty,6.9,R,1995
17,Star Trek: First Contact,7.6,PG-13,1996
17,Conspiracy Theory,6.5,R,1997
17,The Prince of Egypt,6.8,PG,1998
17,Wild Wild West,4.3,PG-13,1999
17,Remember the Titans,7.5,PG,2000
17,Minority Report,7.7,PG-13,2002
17,Lemony Snicket's A Series of Unfortunate Events,6.9,PG,2004
17,Wallace & Gromit in The Curse of the Were-Rabbit,7.7,G,2005
17,Snow White and the Huntsman,6.3,PG-13,2012
17,Fifty Shades of Grey,4.2,R,2015
17,X-Men: Apocalypse,7.3,PG-13,2016
17,The Greatest Showman,8.0,PG,2017
17,Crazy Rich Asians,7.5,PG-13,2018
17,What Men Want,4.6,,2019
18,The Godfather: Part III,7.6,R,1990
18,What About Bob?,6.8,PG,1991
18,Boomerang,5.1,R,1992
18,Four Weddings and a Funeral,7.1,R,1994
18,The Bridges of Madison County,7.3,R,1995
18,Space Jam,5.6,PG,1996
18,I Know What You Did Last Summer,5.4,R,1997
18,The Rugrats Movie,5.4,G,1998
18,The Patriot,6.9,R,2000
18,The Princess Diaries,5.9,G,2001
18,Seabiscuit,7.4,PG-13,2003
18,Dodgeball: A True Underdog Story,6.6,PG-13,2004
18,The Break-Up,5.8,PG-13,2006
18,Fantastic Four: Rise of the Silver Surfer,5.8,PG-13,2007
18,The Curious Case of Benjamin Button,8.0,PG-13,2008
18,G.I. Joe: The Rise of Cobra,5.7,PG-13,2009
18,The King's Speech,8.4,R,2010
18,Rio,7.1,G,2011
18,Les Miserables,7.8,PG-13,2012
18,The Great Gatsby,7.4,PG-13,2013
18,Divergent,7.4,PG-13,2014
18,SpongeBob SquarePants 2 Sponge Out of Water,6.4,PG,2015
18,Trolls,6.5,PG,2016
18,The Boss Baby,6.4,PG,2017
18,The Curse of La Llorona,5.7,,2019
19,Flatliners,6.4,R,1990
19,My Girl,6.4,PG-13,1991
19,Scent of a Woman,7.8,R,1992
19,Sister Act 2: Back in the Habit,4.7,PG,1993
19,Mortal Kombat,5.5,PG-13,1995
19,Mr. Holland's Opus,7.1,PG,1996
19,Dante's Peak,5.7,PG-13,1997
19,The General's Daughter,6.1,R,1999
19,Miss Congeniality,6.1,PG-13,2000
19,Sweet Home Alabama,5.8,PG-13,2002
19,The Village,6.6,PG-13,2004
19,Fun with Dick and Jane,6.0,PG-13,2005
19,Gran Torino,8.4,R,2009
19,Straight Outta Compton,8.2,R,2015
19,La La Land,8.4,PG-13,2016
19,Pirates of the Caribbean: Dead Men Tell No Tales,7.0,PG-13,2017
19,Hotel Transylvania 3: Summer Vacation,6.3,PG,2018
19,Godzilla: King of the Monsters,7.2,,2019
20,Misery,7.8,R,1990
20,The Last Boy Scout,6.7,R,1991
20,The Crying Game,7.3,R,1992
20,Tombstone,7.7,R,1993
20,Naked Gun 33 1/3: The Final Insult,6.1,PG-13,1994
20,Grumpier Old Men,6.3,PG-13,1995
20,The English Patient,7.3,R,1996
20,Stepmom,6.2,PG-13,1998
20,Chicken Run,7.3,G,2000
20,The Others,7.8,PG-13,2001
20,Mr. Deeds,5.6,PG-13,2002
20,Spy Kids 3-D: Game Over,4.1,PG,2003
20,Scary Movie 4,5.0,PG-13,2006
20,Enchanted,7.5,PG,2007
20,Bolt,7.4,PG,2008
20,Paul Blart: Mall Cop,5.3,PG-13,2009
20,Shutter Island,8.0,R,2010
20,Cowboys & Aliens,6.2,PG-13,2011
20,Taken 2,6.2,PG-13,2012
20,Identity Thief,5.6,R,2013
20,Ride Along,6.2,PG-13,2014
20,Kung Fu Panda 3,7.3,PG,2016
20,Hidden Figures,7.9,PG,2017
20,Fantastic Beasts: The Crimes of Grindelwald,6.8,,2018
20,Isn't It Romantic,6.0,,2019
21,Boyz n the Hood,7.8,R,1991
21,Far and Away,6.3,PG-13,1992
21,The Three Musketeers,6.1,PG,1993
21,The Crow,7.6,R,1994
21,Nine Months,5.3,PG-13,1995
